               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042682,            0.012872,                   0,             0.66094,             0.85352,             0.82088,             0.41816,            0.032893,           0.0056343,                   0,            0.008335,            0.008335,            0.008335
                  39,            0.044073,            0.012843,                   0,             0.77395,              0.8567,             0.83043,             0.47874,            0.034713,           0.0054741,                   0,             0.00829,             0.00829,             0.00829
                  40,            0.041538,            0.012634,                   0,              0.7002,              0.8125,             0.84856,             0.47992,            0.031399,           0.0055382,                   0,            0.008245,            0.008245,            0.008245
                  41,            0.041214,            0.012909,                   0,              0.6657,             0.87137,             0.78935,             0.47575,            0.031384,           0.0057291,                   0,              0.0082,              0.0082,              0.0082
                  42,            0.042224,            0.012697,                   0,                   1,             0.60582,             0.84356,              0.4547,            0.033896,           0.0052858,                   0,            0.008155,            0.008155,            0.008155
                  43,            0.045346,            0.013871,                   0,             0.73204,             0.85447,             0.86612,             0.50726,            0.033113,           0.0053473,                   0,             0.00811,             0.00811,             0.00811
                  44,             0.04479,             0.01152,                   0,             0.89146,              0.6875,             0.85705,              0.5431,            0.030712,           0.0054661,                   0,            0.008065,            0.008065,            0.008065
                  45,            0.041238,            0.011946,                   0,                   1,             0.72435,             0.88996,             0.58033,            0.028051,           0.0051189,                   0,             0.00802,             0.00802,             0.00802
                  46,            0.041283,            0.013164,                   0,             0.62606,               0.875,             0.78401,             0.47295,            0.031997,           0.0050776,                   0,            0.007975,            0.007975,            0.007975
                  47,            0.039166,            0.010979,                   0,             0.64668,             0.80123,             0.78326,             0.51334,            0.028463,           0.0054153,                   0,             0.00793,             0.00793,             0.00793
                  48,            0.038186,             0.01189,                   0,             0.61041,             0.88157,             0.81589,             0.54023,            0.031697,           0.0052792,                   0,            0.007885,            0.007885,            0.007885
                  49,            0.038722,            0.011825,                   0,             0.73513,              0.6875,             0.79567,             0.50943,            0.030714,            0.005657,                   0,             0.00784,             0.00784,             0.00784
                  50,            0.038512,            0.011273,                   0,             0.78688,             0.92365,             0.89161,             0.54112,            0.029782,           0.0048265,                   0,            0.007795,            0.007795,            0.007795
                  51,            0.040769,            0.011331,                   0,             0.92416,              0.9375,             0.95036,             0.62935,            0.024482,           0.0042444,                   0,             0.00775,             0.00775,             0.00775
                  52,            0.040705,            0.010393,                   0,             0.85513,              0.9375,             0.94571,             0.57593,            0.027901,           0.0043225,                   0,            0.007705,            0.007705,            0.007705
                  53,            0.041269,            0.012032,                   0,             0.85521,               0.875,             0.88394,             0.59193,            0.026772,           0.0048052,                   0,             0.00766,             0.00766,             0.00766
                  54,            0.036329,            0.012309,                   0,             0.84028,             0.98698,             0.93086,             0.60999,            0.028176,           0.0043993,                   0,            0.007615,            0.007615,            0.007615
                  55,            0.037435,             0.01112,                   0,             0.86225,              0.9375,             0.92043,             0.56799,            0.027547,           0.0044821,                   0,             0.00757,             0.00757,             0.00757
                  56,            0.037995,            0.011277,                   0,             0.82272,             0.87039,             0.89618,             0.52281,            0.033769,           0.0043479,                   0,            0.007525,            0.007525,            0.007525
                  57,            0.040399,            0.011597,                   0,              0.8443,                0.75,             0.86759,             0.60127,            0.026538,           0.0048452,                   0,             0.00748,             0.00748,             0.00748
                  58,            0.036248,             0.01102,                   0,             0.81286,                0.75,             0.91061,              0.6193,            0.027258,           0.0045535,                   0,            0.007435,            0.007435,            0.007435
                  59,            0.034377,           0.0098301,                   0,             0.90207,              0.9375,              0.9331,             0.56264,            0.029826,           0.0043272,                   0,             0.00739,             0.00739,             0.00739
                  60,            0.035139,            0.010324,                   0,             0.86937,             0.83279,             0.94067,             0.55789,            0.027908,           0.0041476,                   0,            0.007345,            0.007345,            0.007345
                  61,            0.036984,            0.010624,                   0,             0.87255,             0.85663,             0.89529,              0.5765,            0.027037,           0.0044701,                   0,              0.0073,              0.0073,              0.0073
                  62,            0.034735,            0.010294,                   0,             0.78612,              0.9375,             0.90097,             0.61375,             0.02963,           0.0044667,                   0,            0.007255,            0.007255,            0.007255
                  63,            0.037893,            0.011128,                   0,             0.93748,              0.8125,             0.95749,             0.62474,            0.028132,           0.0042871,                   0,             0.00721,             0.00721,             0.00721
                  64,            0.038327,            0.011489,                   0,             0.83938,              0.9375,             0.96065,             0.64881,            0.025131,           0.0041016,                   0,            0.007165,            0.007165,            0.007165
                  65,            0.037695,            0.010255,                   0,             0.79525,             0.97179,             0.93115,             0.58601,            0.026722,           0.0044527,                   0,             0.00712,             0.00712,             0.00712
                  66,            0.033911,            0.010285,                   0,             0.71699,                   1,             0.91898,             0.60254,            0.025858,           0.0044333,                   0,            0.007075,            0.007075,            0.007075
                  67,            0.034753,            0.010786,                   0,             0.89236,              0.9375,             0.96521,             0.58216,            0.028423,            0.004145,                   0,             0.00703,             0.00703,             0.00703
                  68,            0.034983,           0.0097002,                   0,             0.89614,              0.9375,             0.98083,             0.61466,            0.028795,           0.0040982,                   0,            0.006985,            0.006985,            0.006985
                  69,            0.036931,           0.0096369,                   0,             0.78497,                   1,             0.90025,               0.601,            0.024823,           0.0043265,                   0,             0.00694,             0.00694,             0.00694
                  70,            0.032961,            0.010234,                   0,             0.92111,              0.7308,             0.91963,             0.59877,            0.028232,           0.0042925,                   0,            0.006895,            0.006895,            0.006895
                  71,            0.035179,            0.010354,                   0,             0.97248,               0.625,             0.83818,              0.5821,            0.026617,           0.0046316,                   0,             0.00685,             0.00685,             0.00685
                  72,            0.036781,           0.0097498,                   0,             0.70859,              0.8125,             0.80956,             0.54942,            0.024946,           0.0051897,                   0,            0.006805,            0.006805,            0.006805
                  73,            0.036396,             0.01032,                   0,             0.78758,              0.8125,              0.8062,             0.54321,             0.02643,           0.0050789,                   0,             0.00676,             0.00676,             0.00676
                  74,            0.035814,            0.010324,                   0,             0.83124,              0.9375,             0.91013,              0.6033,            0.025251,           0.0041777,                   0,            0.006715,            0.006715,            0.006715
                  75,            0.036285,            0.010678,                   0,             0.91077,              0.8125,             0.93607,             0.63239,            0.024991,            0.004151,                   0,             0.00667,             0.00667,             0.00667
                  76,            0.033627,            0.010325,                   0,             0.92353,              0.8125,             0.96321,             0.64556,             0.02548,           0.0040902,                   0,            0.006625,            0.006625,            0.006625
                  77,             0.03358,            0.009973,                   0,             0.93506,             0.90092,             0.97113,             0.68408,            0.024656,           0.0039153,                   0,             0.00658,             0.00658,             0.00658
                  78,            0.033083,           0.0095169,                   0,             0.83908,                   1,             0.97205,             0.69436,            0.022295,           0.0037711,                   0,            0.006535,            0.006535,            0.006535
                  79,            0.030594,           0.0088017,                   0,             0.97894,                0.75,             0.93285,             0.61963,            0.025031,           0.0040602,                   0,             0.00649,             0.00649,             0.00649
                  80,            0.035483,            0.010058,                   0,              0.8217,             0.86465,             0.93472,             0.63525,            0.025378,           0.0040261,                   0,            0.006445,            0.006445,            0.006445
